Date,Total sources,Sources with issues,Correct sources
2018-07-17,11,6,5
2018-07-18,11,6,5
2018-07-19,11,6,5
2018-07-20,11,6,5
2018-07-23,11,6,5
2018-07-24,11,6,5
2018-07-25,11,6,5
2018-07-26,11,6,5
2018-07-27,11,6,5
2018-07-30,11,6,5
2018-07-31,11,6,5
2018-08-01,11,6,5
2018-08-02,11,6,5
2018-08-03,11,6,5
2018-08-06,11,6,5
2018-08-07,11,6,5
2018-08-08,11,0,11
2018-08-09,11,0,11
2018-08-10,11,0,11
2018-08-13,11,0,11
2018-08-14,11,0,11
2018-08-15,11,0,11
2018-08-17,11,0,11
2018-08-20,11,0,11
2018-08-21,11,0,11
2018-08-22,11,0,11
2018-08-22,11,0,11
2018-08-23,11,0,11
2018-08-24,11,0,11
2018-08-27,11,0,11
2018-08-28,11,0,11
2018-08-29,11,0,11
2018-08-30,11,0,11
2018-08-31,11,0,11
2018-09-03,11,1,10
2018-09-04,11,1,10
2018-09-05,11,0,11
2018-09-06,11,0,11
2018-09-06,11,0,11
2018-09-07,11,0,11
2018-09-10,11,0,11
2018-09-11,11,0,11
2018-09-12,11,0,11
2018-09-13,11,0,11
2018-09-14,11,0,11
2018-09-17,11,0,11
2018-09-19,11,0,11
2018-09-20,11,0,11
2018-09-21,11,0,11
2018-09-21,11,0,11
2018-09-24,11,0,11
2018-09-25,11,0,11
2018-09-26,11,0,11
2018-09-27,11,0,11
2018-09-28,11,0,11
2018-10-01,11,0,11
2018-10-02,11,0,11
2018-10-03,11,0,11
2018-10-04,11,0,11
2018-10-05,11,0,11
2018-10-08,11,0,11
2018-10-09,11,0,11
2018-10-10,11,0,11
2018-10-11,11,0,11
2018-10-12,11,0,11
2018-10-15,11,0,11
2018-10-16,11,0,11
2018-10-17,11,0,11
2018-10-18,11,0,11
2018-10-19,11,0,11
2018-10-22,11,0,11
2018-10-23,11,0,11
2018-10-24,11,0,11
2018-10-25,11,0,11
2018-10-26,11,0,11
2018-10-31,11,0,11
2018-11-01,11,0,11
2018-11-02,11,0,11
2018-11-05,11,0,11
2018-11-06,11,0,11
2018-11-07,11,0,11
2018-11-08,11,0,11
2018-11-09,11,0,11
2018-11-12,11,0,11
2018-11-13,11,0,11
2018-11-14,11,0,11
2018-11-15,11,0,11
2018-11-16,11,0,11
2018-11-19,11,0,11
2018-11-20,11,0,11
2018-11-21,11,0,11
2018-11-22,11,0,11
2018-11-23,11,0,11
2018-11-26,11,0,11
2018-11-27,11,0,11
2018-11-28,11,0,11
2018-11-29,11,0,11
2018-11-30,11,0,11
2018-12-03,11,0,11
2018-12-04,11,0,11
2018-12-05,11,0,11
2018-12-06,11,0,11
2018-12-07,11,0,11
2018-12-10,11,0,11
2018-12-11,11,0,11
2018-12-12,11,0,11
2018-12-13,11,0,11
2018-12-14,11,0,11
2018-12-18,11,0,11
2018-12-19,11,0,11
2018-12-20,11,0,11
2018-12-21,11,0,11
2019-01-01,11,0,11
2019-01-02,11,0,11
2019-01-03,11,0,11
2019-01-04,11,0,11
2019-01-07,11,0,11
2019-01-08,11,0,11
2019-01-09,11,0,11
2019-01-10,11,0,11
2019-01-11,11,0,11
2019-01-14,11,0,11
2019-01-15,11,0,11
2019-01-16,11,0,11
2019-01-17,11,0,11
2019-01-18,11,0,11
2019-01-21,11,0,11
2019-01-22,11,0,11
2019-01-23,11,0,11
2019-01-24,11,0,11
2019-01-25,11,0,11
2019-01-28,11,0,11
2019-01-29,11,0,11
2019-01-30,11,0,11
2019-01-31,11,0,11
2019-02-01,11,0,11
2019-02-04,11,0,11
2019-02-05,11,0,11
2019-02-06,11,0,11
2019-02-07,11,0,11
2019-02-08,11,0,11
2019-02-18,11,0,11
2019-02-19,11,0,11
2019-02-20,11,0,11
2019-02-21,11,0,11
2019-02-22,11,0,11
