Date,Total sources,Sources with issues,Correct sources
2018-07-18,91,26,65
2018-07-19,91,26,65
2018-07-20,91,26,65
2018-07-23,91,26,65
2018-07-24,91,26,65
2018-07-25,91,26,65
2018-07-26,91,26,65
2018-07-27,91,26,65
2018-07-30,91,26,65
2018-07-31,91,26,65
2018-08-01,91,26,65
2018-08-02,91,26,65
2018-08-03,91,26,65
2018-08-06,91,26,65
2018-08-07,91,26,65
2018-08-08,91,26,65
2018-08-09,91,26,65
2018-08-10,91,26,65
2018-08-13,91,26,65
2018-08-14,91,26,65
2018-08-15,91,26,65
2018-08-17,91,26,65
2018-08-20,91,26,65
2018-08-21,91,26,65
2018-08-22,91,26,65
2018-08-22,91,26,65
2018-08-23,91,26,65
2018-08-24,91,26,65
2018-08-27,91,26,65
2018-08-28,91,3,88
2018-08-29,91,0,91
2018-08-30,91,0,91
2018-08-31,91,0,91
2018-09-03,91,0,91
2018-09-04,91,0,91
2018-09-05,91,0,91
2018-09-06,91,0,91
2018-09-06,91,0,91
2018-09-07,91,0,91
2018-09-10,91,0,91
2018-09-11,91,0,91
2018-09-12,91,0,91
2018-09-13,91,0,91
2018-09-14,91,0,91
2018-09-17,91,0,91
2018-09-19,91,0,91
2018-09-20,91,0,91
2018-09-21,91,0,91
2018-09-21,91,0,91
2018-09-24,91,0,91
2018-09-25,91,0,91
2018-09-26,91,0,91
2018-09-27,91,0,91
2018-09-28,91,0,91
2018-10-01,91,0,91
2018-10-02,91,0,91
2018-10-03,91,0,91
2018-10-04,91,0,91
2018-10-05,91,0,91
2018-10-08,91,0,91
2018-10-09,91,0,91
2018-10-10,91,0,91
2018-10-11,91,0,91
2018-10-12,91,0,91
2018-10-15,91,0,91
2018-10-16,91,0,91
2018-10-17,91,0,91
2018-10-18,91,0,91
2018-10-19,91,0,91
2018-10-22,91,0,91
2018-10-23,91,0,91
2018-10-24,91,0,91
2018-10-25,91,0,91
2018-10-26,91,0,91
2018-10-31,91,0,91
2018-11-01,91,0,91
2018-11-02,91,0,91
2018-11-05,91,0,91
2018-11-06,91,0,91
2018-11-07,91,0,91
2018-11-08,91,0,91
2018-11-09,91,0,91
2018-11-12,91,0,91
2018-11-13,91,0,91
2018-11-14,91,0,91
2018-11-15,91,0,91
2018-11-16,91,0,91
2018-11-19,91,0,91
2018-11-20,91,0,91
2018-11-21,91,0,91
2018-11-22,91,0,91
2018-11-23,91,0,91
2018-11-26,91,0,91
2018-11-27,91,0,91
2018-11-28,91,0,91
2018-11-29,91,0,91
2018-11-30,91,0,91
2018-12-03,91,0,91
2018-12-04,91,0,91
2018-12-05,91,0,91
2018-12-06,91,0,91
2018-12-07,91,0,91
2018-12-10,91,0,91
2018-12-11,91,0,91
2018-12-12,91,0,91
2018-12-13,91,0,91
2018-12-14,91,0,91
