Date,Total sources,Sources with issues,Correct sources
2018-07-17,12,3,9
2018-07-18,12,3,9
2018-07-19,12,3,9
2018-07-20,12,3,9
2018-07-23,12,3,9
2018-07-24,12,3,9
2018-07-25,12,3,9
2018-07-26,12,3,9
2018-07-27,12,3,9
2018-07-30,12,3,9
2018-07-31,12,3,9
2018-08-01,12,3,9
2018-08-02,12,3,9
2018-08-03,12,3,9
2018-08-06,12,3,9
2018-08-07,12,3,9
2018-08-08,12,3,9
2018-08-09,12,0,12
2018-08-10,12,0,12
2018-08-13,12,0,12
2018-08-14,12,0,12
2018-08-15,13,0,13
2018-08-17,13,0,13
2018-08-20,13,0,13
2018-08-21,13,0,13
2018-08-22,13,0,13
2018-08-22,13,0,13
2018-08-23,13,0,13
2018-08-24,13,0,13
2018-08-27,13,0,13
2018-08-28,13,0,13
2018-08-29,13,0,13
2018-08-30,13,0,13
2018-08-31,13,0,13
2018-09-03,13,0,13
2018-09-04,13,0,13
2018-09-05,13,0,13
2018-09-06,13,0,13
2018-09-06,13,0,13
2018-09-07,13,0,13
2018-09-10,13,0,13
2018-09-11,13,0,13
2018-09-12,13,0,13
2018-09-13,13,0,13
2018-09-14,13,0,13
2018-09-17,13,0,13
2018-09-19,13,0,13
2018-09-20,13,0,13
2018-09-21,13,0,13
2018-09-21,13,0,13
2018-09-24,13,0,13
2018-09-25,13,0,13
2018-09-26,13,0,13
2018-09-27,13,0,13
2018-09-28,13,0,13
2018-10-01,13,0,13
2018-10-02,13,0,13
2018-10-03,13,0,13
2018-10-04,13,0,13
2018-10-05,13,0,13
2018-10-08,13,0,13
2018-10-09,13,0,13
2018-10-10,13,0,13
2018-10-11,13,0,13
2018-10-12,13,0,13
2018-10-15,13,0,13
2018-10-16,13,0,13
2018-10-17,13,0,13
2018-10-18,13,0,13
2018-10-19,13,0,13
2018-10-22,13,0,13
2018-10-23,13,0,13
2018-10-24,13,0,13
2018-10-25,13,0,13
2018-10-26,13,0,13
2018-10-31,13,0,13
2018-11-01,13,0,13
2018-11-02,13,0,13
2018-11-05,13,0,13
2018-11-06,13,0,13
2018-11-07,13,0,13
2018-11-08,13,0,13
2018-11-09,13,0,13
2018-11-12,13,0,13
2018-11-13,13,0,13
2018-11-14,13,0,13
2018-11-15,13,0,13
2018-11-16,13,0,13
2018-11-19,13,0,13
2018-11-20,13,0,13
2018-11-21,13,0,13
2018-11-22,13,0,13
2018-11-23,13,0,13
2018-11-26,13,0,13
2018-11-27,13,0,13
2018-11-28,13,0,13
2018-11-29,13,0,13
2018-11-30,13,0,13
2018-12-03,13,0,13
2018-12-04,13,0,13
2018-12-05,13,0,13
2018-12-06,13,0,13
2018-12-07,13,0,13
2018-12-10,13,0,13
2018-12-11,13,0,13
2018-12-12,13,0,13
2018-12-13,13,0,13
2018-12-14,13,0,13
2018-12-18,13,0,13
2018-12-19,13,0,13
2018-12-20,13,0,13
2018-12-21,13,0,13
2019-01-01,13,0,13
2019-01-02,13,0,13
2019-01-03,13,0,13
2019-01-04,13,0,13
2019-01-07,13,0,13
2019-01-08,13,0,13
2019-01-09,13,0,13
2019-01-10,13,0,13
2019-01-11,13,0,13
2019-01-14,13,0,13
2019-01-15,13,0,13
2019-01-16,13,0,13
2019-01-17,13,0,13
2019-01-18,13,0,13
2019-01-21,13,0,13
2019-01-22,13,0,13
2019-01-23,13,0,13
2019-01-24,15,0,15
2019-01-25,15,0,15
2019-01-28,15,0,15
2019-01-29,15,0,15
2019-01-30,15,0,15
2019-01-31,15,0,15
2019-02-01,15,0,15
2019-02-04,15,0,15
2019-02-05,15,0,15
2019-02-06,15,0,15
2019-02-07,15,0,15
2019-02-08,15,0,15
2019-02-18,15,0,15
2019-02-19,15,0,15
