Date,Total sources,Sources with issues,Correct sources
2018-07-17,29,14,15
2018-07-18,29,14,15
2018-07-19,29,14,15
2018-07-20,29,14,15
2018-07-23,29,14,15
2018-07-24,29,14,15
2018-07-25,29,14,15
2018-07-26,29,14,15
2018-07-27,29,14,15
2018-07-30,29,14,15
2018-07-31,29,14,15
2018-08-01,29,14,15
2018-08-02,29,14,15
2018-08-03,29,14,15
2018-08-06,29,14,15
2018-08-07,29,14,15
2018-08-08,29,14,15
2018-08-09,29,15,14
2018-08-10,29,15,14
2018-08-13,29,15,14
2018-08-14,29,15,14
2018-08-15,29,15,14
2018-08-17,29,15,14
2018-08-20,29,15,14
2018-08-21,29,15,14
2018-08-22,29,5,24
2018-08-22,29,5,24
2018-08-23,29,5,24
2018-08-24,29,5,24
2018-08-27,29,5,24
2018-08-28,29,5,24
2018-08-29,29,5,24
2018-08-30,29,5,24
2018-08-31,29,5,24
2018-09-03,29,5,24
2018-09-04,29,5,24
2018-09-05,29,5,24
2018-09-06,29,3,26
2018-09-06,29,0,29
2018-09-07,29,0,29
2018-09-10,29,0,29
2018-09-11,29,1,28
2018-09-12,29,0,29
2018-09-13,29,0,29
2018-09-14,29,0,29
2018-09-17,29,0,29
2018-09-19,29,0,29
2018-09-20,29,0,29
2018-09-21,29,0,29
2018-09-21,29,0,29
2018-09-24,29,0,29
2018-09-25,29,0,29
2018-09-26,26,0,26
2018-09-27,26,0,26
2018-09-28,26,0,26
2018-10-01,26,0,26
2018-10-02,26,0,26
2018-10-03,26,0,26
2018-10-04,26,0,26
2018-10-05,26,0,26
2018-10-08,26,0,26
2018-10-09,26,0,26
2018-10-10,26,0,26
2018-10-11,26,0,26
2018-10-12,26,0,26
2018-10-15,26,0,26
2018-10-16,26,0,26
2018-10-17,26,0,26
2018-10-18,26,0,26
2018-10-19,26,0,26
2018-10-22,26,0,26
2018-10-23,26,0,26
2018-10-24,26,0,26
2018-10-25,26,0,26
2018-10-26,26,0,26
2018-10-31,26,0,26
2018-11-01,26,0,26
2018-11-02,26,0,26
2018-11-05,26,0,26
2018-11-06,26,0,26
2018-11-07,26,0,26
2018-11-08,28,0,28
2018-11-09,28,0,28
2018-11-12,28,0,28
2018-11-13,28,0,28
2018-11-14,28,0,28
2018-11-15,28,0,28
2018-11-16,28,0,28
2018-11-19,28,0,28
2018-11-20,28,0,28
2018-11-21,28,0,28
2018-11-22,28,0,28
2018-11-23,28,0,28
2018-11-26,28,0,28
2018-11-27,28,0,28
2018-11-28,28,0,28
2018-11-29,28,0,28
2018-11-30,28,0,28
2018-12-03,28,0,28
2018-12-04,28,0,28
