Date,Total sources,Sources with issues,Correct sources
2018-07-17,8,5,3
2018-07-18,8,4,4
2018-07-19,8,4,4
2018-07-20,8,3,5
2018-07-23,8,3,5
2018-07-24,8,3,5
2018-07-25,8,3,5
2018-07-26,8,3,5
2018-07-27,8,3,5
2018-07-30,8,3,5
2018-07-31,8,3,5
2018-08-01,8,3,5
2018-08-02,8,3,5
2018-08-03,8,3,5
2018-08-06,8,3,5
2018-08-07,8,3,5
2018-08-08,8,3,5
2018-08-09,8,3,5
2018-08-10,8,4,4
2018-08-13,8,4,4
2018-08-14,8,4,4
2018-08-15,8,4,4
2018-08-17,8,4,4
2018-08-20,8,4,4
2018-08-21,8,4,4
2018-08-22,8,4,4
2018-08-22,8,4,4
2018-08-23,8,4,4
2018-08-24,8,4,4
2018-08-27,8,4,4
2018-08-28,8,4,4
2018-08-29,8,4,4
2018-08-30,8,4,4
2018-08-31,8,4,4
2018-09-03,8,4,4
2018-09-04,8,4,4
2018-09-05,8,4,4
2018-09-06,8,4,4
2018-09-06,7,1,6
2018-09-07,7,1,6
2018-09-10,7,0,7
2018-09-11,7,0,7
2018-09-12,7,0,7
2018-09-13,7,0,7
2018-09-14,7,0,7
2018-09-17,7,0,7
2018-09-19,7,0,7
2018-09-20,7,0,7
2018-09-21,7,0,7
2018-09-21,7,0,7
2018-09-24,7,0,7
2018-09-25,7,0,7
2018-09-26,7,0,7
2018-09-27,7,0,7
2018-09-28,7,0,7
2018-10-01,7,0,7
2018-10-02,7,0,7
2018-10-03,7,0,7
2018-10-04,7,0,7
2018-10-05,7,0,7
2018-10-08,7,0,7
2018-10-09,7,0,7
2018-10-10,7,0,7
2018-10-11,7,0,7
2018-10-12,7,0,7
2018-10-15,7,0,7
2018-10-16,7,0,7
2018-10-17,7,0,7
2018-10-18,7,0,7
2018-10-19,7,0,7
2018-10-22,7,0,7
2018-10-23,7,0,7
2018-10-24,7,0,7
2018-10-25,7,0,7
2018-10-26,7,0,7
2018-10-31,7,0,7
2018-11-01,7,0,7
2018-11-02,7,0,7
2018-11-05,7,0,7
2018-11-06,7,0,7
2018-11-07,7,0,7
2018-11-08,7,0,7
2018-11-09,7,0,7
2018-11-12,7,0,7
2018-11-13,7,0,7
2018-11-14,7,0,7
2018-11-15,7,0,7
2018-11-16,7,0,7
2018-11-19,7,0,7
2018-11-20,7,0,7
2018-11-21,7,0,7
2018-11-22,7,0,7
2018-11-23,7,0,7
2018-11-26,7,0,7
2018-11-27,7,0,7
2018-11-28,7,0,7
2018-11-29,7,0,7
2018-11-30,7,0,7
2018-12-03,7,0,7
2018-12-04,7,0,7
2018-12-05,7,0,7
2018-12-06,7,0,7
2018-12-07,7,0,7
2018-12-10,7,0,7
2018-12-11,7,0,7
2018-12-12,7,0,7
2018-12-13,7,0,7
2018-12-14,7,0,7
