Date,Total sources,Sources with issues,Correct sources
2018-08-22,6,2,4
2018-08-23,6,1,5
2018-08-24,6,1,5
2018-08-27,6,1,5
2018-08-28,6,1,5
2018-08-29,6,1,5
2018-08-30,6,1,5
2018-08-31,6,1,5
2018-09-03,6,1,5
2018-09-04,6,1,5
2018-09-05,6,1,5
2018-09-06,6,1,5
2018-09-06,6,1,5
2018-09-07,6,1,5
2018-09-10,6,1,5
2018-09-11,6,1,5
2018-09-12,6,0,6
2018-09-13,6,0,6
2018-09-14,6,0,6
2018-09-17,6,0,6
2018-09-19,6,0,6
2018-09-20,6,0,6
2018-09-21,6,0,6
2018-09-21,6,0,6
2018-09-24,6,0,6
2018-09-25,6,0,6
2018-09-26,6,0,6
2018-09-27,6,0,6
2018-09-28,6,0,6
2018-10-01,6,0,6
2018-10-02,6,0,6
2018-10-03,6,0,6
2018-10-04,6,0,6
2018-10-05,6,0,6
2018-10-08,6,0,6
2018-10-09,6,0,6
2018-10-10,6,0,6
2018-10-11,6,0,6
2018-10-12,6,0,6
2018-10-15,6,0,6
2018-10-16,6,0,6
2018-10-17,6,0,6
2018-10-18,6,0,6
2018-10-19,6,0,6
2018-10-22,6,0,6
2018-10-23,6,0,6
2018-10-24,6,0,6
2018-10-25,6,0,6
2018-10-26,6,0,6
2018-10-31,6,0,6
2018-11-01,6,0,6
2018-11-02,6,0,6
2018-11-05,6,0,6
2018-11-06,6,0,6
2018-11-07,6,0,6
2018-11-08,6,0,6
2018-11-09,6,0,6
2018-11-12,6,0,6
2018-11-13,7,1,6
2018-11-14,7,0,7
2018-11-15,7,0,7
2018-11-16,7,0,7
2018-11-19,7,0,7
2018-11-20,7,0,7
2018-11-21,7,0,7
2018-11-22,7,0,7
2018-11-23,7,0,7
2018-11-26,7,0,7
2018-11-27,7,0,7
2018-11-28,7,0,7
2018-11-29,7,0,7
2018-11-30,7,0,7
2018-12-03,7,0,7
2018-12-04,7,0,7
2018-12-05,7,0,7
2018-12-06,7,0,7
2018-12-07,7,0,7
2018-12-10,7,0,7
2018-12-11,7,0,7
2018-12-12,7,0,7
2018-12-13,7,0,7
2018-12-14,7,0,7
2018-12-18,7,0,7
